City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
2,Cheney,US,104.76,broken clouds,47.4874,-117.5758,"Holiday Inn Express & Suites Cheney, an IHG Hotel"
3,Mitsamiouli,KM,76.32,clear sky,-11.3847,43.2844,Foyer ADM
4,Korla,CN,84.04,overcast clouds,41.7597,86.1469,Gulisitan Hotel
5,Krasnoselkup,RU,53.47,broken clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
9,Ribeira Grande,PT,71.38,few clouds,38.5167,-28.7,Quinta da Meia Eira
10,Miri,MY,74.44,broken clouds,4.4148,114.0089,"Mega Hotel, Miri"
11,Flagstaff,US,76.32,scattered clouds,35.1981,-111.6513,Drury Inn & Suites Flagstaff
12,Broome,US,66.69,clear sky,42.2506,-75.833,Chenango Valley State Park
13,Victoria,HK,84.38,light rain,22.2855,114.1577,Mini Hotel Central
14,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
16,Hermanus,ZA,52.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
17,Eureka,US,61.99,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
18,Cidreira,BR,50.38,clear sky,-30.1811,-50.2056,Hotel Castelo
21,Puerto Madero,MX,89.8,scattered clouds,14.7208,-92.4215,Hotel La Central
22,Fort Nelson,CA,84.52,clear sky,58.8053,-122.7002,The Fort Nelson Hotel
24,Mount Gambier,AU,52.25,broken clouds,-37.8333,140.7667,The Commodore
25,Souillac,MU,66.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
26,Sovetskaya Gavan,RU,62.46,overcast clouds,48.9723,140.2878,"Хостел ""Пилигрим"""
27,Vaini,TO,71.76,light rain,-21.2,-175.2,Keleti Beach Resort
28,East London,ZA,58.51,clear sky,-33.0153,27.9116,Tu Casa
29,Tuktoyaktuk,CA,54.55,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
30,San Carlos Del Zulia,VE,85.21,scattered clouds,9.0,-71.9135,Hotel El Manantial
31,Yellowknife,CA,74.28,overcast clouds,62.456,-114.3525,The Explorer Hotel
33,Deputatskiy,RU,63.37,broken clouds,69.3,139.9,Baza Otdykha
35,Hobart,AU,55.26,light rain,-42.8794,147.3294,Mantra on Collins Hobart
36,Turayf,SA,79.34,clear sky,31.6725,38.6637,Turaif
37,Serenje,ZM,51.49,clear sky,-13.2325,30.2352,The Kabaso's
38,Hilo,US,83.12,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
39,Bredasdorp,ZA,50.83,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
40,Nikolskoye,RU,61.02,scattered clouds,59.7035,30.7861,Tourist House - Sablino
41,Bethel,US,77.58,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
42,Riyadh,SA,95.05,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
43,Butaritari,KI,81.23,moderate rain,3.0707,172.7902,Isles Sunset Lodge
44,Joao Pinheiro,BR,64.78,scattered clouds,-17.7425,-46.1725,Hotel Santos
45,Portland,US,104.52,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
46,Sorong,ID,79.93,overcast clouds,-0.8833,131.25,waigo splash hotel
48,Alofi,NU,77.32,overcast clouds,-19.0595,-169.9187,Taloa Heights
49,Iqaluit,CA,52.43,overcast clouds,63.7506,-68.5145,Frobisher Inn
53,Dakar,SN,81.48,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
54,Carnarvon,AU,63.46,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
56,Kodiak,US,54.91,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
57,Mercedes,AR,53.83,clear sky,-34.6515,-59.4307,Posada del Inti Centro
58,Jamestown,US,68.72,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
59,Rovaniemi,FI,54.81,overcast clouds,66.5,25.7167,Arctic City Hotel
61,Rikitea,PF,71.98,light rain,-23.1203,-134.9692,People ThankYou
62,Cape Town,ZA,54.27,fog,-33.9258,18.4232,Southern Sun Waterfront Cape Town
63,Kapaa,US,88.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
64,Abu Dhabi,AE,93.22,scattered clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
65,Atuona,PF,77.18,scattered clouds,-9.8,-139.0333,Villa Enata
66,Constitucion,CL,52.66,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
67,Torbay,CA,61.29,overcast clouds,47.6666,-52.7314,Gallows Cove
68,Fairbanks,US,73.09,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
69,Thompson,CA,75.7,few clouds,55.7435,-97.8558,Burntwood Hotel
70,Harwich,GB,61.34,broken clouds,51.9419,1.2844,Premier Inn Harwich hotel
71,Arvika,SE,57.81,few clouds,59.6553,12.5852,Clarion Collection Hotel Bristol
72,New Norfolk,AU,54.9,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
73,Haicheng,CN,77.76,overcast clouds,40.8516,122.7475,Haicheng Grand Hotel
74,Arraial Do Cabo,BR,63.91,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
75,Karratha,AU,66.58,broken clouds,-20.7377,116.8463,ibis Styles Karratha
76,Aberdeen,GB,56.5,overcast clouds,57.1437,-2.0981,Premier Inn Aberdeen City Centre hotel
77,Tuy Hoa,VN,83.05,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
78,Bacolod,PH,80.76,overcast clouds,10.6667,122.95,Planta Hotel & Residences
79,Joshimath,IN,69.84,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
80,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
81,Port Lincoln,AU,55.49,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
83,Ilulissat,GL,59.02,broken clouds,69.2167,-51.1,Hotel Arctic
84,Berezovyy,RU,55.31,overcast clouds,51.6667,135.7,"Hotel ""Phoenix"""
85,Norman Wells,CA,83.32,scattered clouds,65.282,-126.8329,Heritage Hotel
86,Craig,US,86.59,thunderstorm,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
87,Hithadhoo,MV,80.73,overcast clouds,-0.6,73.0833,Scoop Guest House
88,Goderich,CA,64.9,clear sky,43.7501,-81.7165,Harmony Inn
89,Airai,TL,61.81,broken clouds,-8.9266,125.4092,Juvinal Martin
90,Lunglei,IN,66.18,overcast clouds,22.8833,92.7333,Hotel Elite
91,Bordighera,IT,77.25,clear sky,43.7806,7.6645,Albergo Villa Elisa
92,Gasa,PS,78.78,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
93,Touros,BR,77.61,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
94,Natal,BR,76.62,overcast clouds,-5.795,-35.2094,Villa Park Hotel | Natal
95,Kavieng,PG,83.53,broken clouds,-2.5744,150.7967,Nusa Island Retreat
96,Port-Gentil,GA,76.6,few clouds,-0.7193,8.7815,Fengshui Residence
98,Bucerias,MX,86.99,overcast clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
99,Broken Hill,AU,60.87,clear sky,-31.95,141.4333,Royal Exchange Hotel
100,Hofn,IS,50.25,few clouds,64.2539,-15.2082,Hótel Höfn
102,Rockledge,US,92.28,clear sky,28.3508,-80.7253,Aladdin Motel
103,Tocache,PE,72.34,overcast clouds,-8.1842,-76.5125,Hotel Ortiz
105,Port Alfred,ZA,57.88,few clouds,-33.5906,26.891,The Halyards Hotel
107,Grindavik,IS,55.87,clear sky,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
108,Villa Bruzual,VE,75.83,scattered clouds,9.3328,-69.1208,Edificio Guarente
109,Mar Del Plata,AR,54.88,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
111,Grasten,DK,62.64,moderate rain,54.9192,9.5952,Enjoy Resorts Marina Fiskenæs
112,Omboue,GA,73.65,clear sky,-1.5746,9.2618,Hotel Olako
113,Charters Towers,AU,70.88,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
114,Faanui,PF,77.61,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
116,La Ronge,CA,74.46,broken clouds,55.1001,-105.2842,Northland Motor Hotel
117,Quelimane,MZ,65.34,clear sky,-17.8786,36.8883,Hotel Flamingo
121,Tierralta,CO,80.76,scattered clouds,8.1736,-76.0592,Hotel La Marqueza
122,Barrow,US,51.82,light rain,71.2906,-156.7887,King Eider Inn
123,Ortakoy,TR,68.25,clear sky,38.7373,34.0387,Berilhan Hotel
124,Lucapa,AO,67.05,clear sky,-8.4192,20.7447,Residência Ulisses Dos Santos
125,Linqiong,CN,75.02,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
128,Ahipara,NZ,58.33,light rain,-35.1667,173.1667,Ahipara Holiday Park
129,Pergine Valsugana,IT,71.35,broken clouds,46.065,11.238,La Rotonda Albergo Ristorante
130,Ukiah,US,107.53,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
132,Caravelas,BR,67.33,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
133,Bandarbeyla,SO,76.53,scattered clouds,9.4942,50.8122,JABIR HOTEL
134,Sibolga,ID,75.18,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
136,Salaga,GH,77.38,light rain,8.5508,-0.5188,Bore Nada Guest House
137,Narsaq,GL,61.02,overcast clouds,60.9167,-46.05,Narsaq Kayak Hostel
139,Blackwater,AU,66.58,scattered clouds,-23.5833,148.8833,Blackwater Motor Inn
