City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
0,Ancud,CL,-41.8697,-73.8203,42.33,78,4,7.2,clear sky
1,Provideniya,RU,64.3833,-173.3,47.21,94,100,4.76,light rain
2,Cheney,US,47.4874,-117.5758,104.76,16,75,9.22,broken clouds
3,Mitsamiouli,KM,-11.3847,43.2844,76.32,68,0,6.26,clear sky
4,Korla,CN,41.7597,86.1469,84.04,29,93,12.28,overcast clouds
5,Krasnoselkup,RU,65.7,82.4667,53.47,68,63,6.29,broken clouds
6,Dikson,RU,73.5069,80.5464,43.29,98,98,7.56,overcast clouds
7,Aksarka,RU,66.5606,67.7975,47.37,91,100,9.66,overcast clouds
8,Tiksi,RU,71.6872,128.8694,47.62,75,51,7.78,broken clouds
9,Ribeira Grande,PT,38.5167,-28.7,71.38,85,13,6.82,few clouds
10,Miri,MY,4.4148,114.0089,74.44,89,74,5.41,broken clouds
11,Flagstaff,US,35.1981,-111.6513,76.32,86,40,3.44,scattered clouds
12,Broome,US,42.2506,-75.833,66.69,65,1,4.0,clear sky
13,Victoria,HK,22.2855,114.1577,84.38,91,85,8.99,light rain
14,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,14.97,scattered clouds
15,Busselton,AU,-33.65,115.3333,41.09,73,96,11.52,overcast clouds
16,Hermanus,ZA,-34.4187,19.2345,52.9,84,0,2.64,clear sky
17,Eureka,US,40.8021,-124.1637,61.99,76,69,5.01,broken clouds
18,Cidreira,BR,-30.1811,-50.2056,50.38,75,0,5.64,clear sky
19,Ushuaia,AR,-54.8,-68.3,32.23,85,43,3.13,scattered clouds
20,Albany,US,42.6001,-73.9662,71.46,54,20,1.01,few clouds
21,Puerto Madero,MX,14.7208,-92.4215,89.8,55,40,0.0,scattered clouds
22,Fort Nelson,CA,58.8053,-122.7002,84.52,28,6,5.32,clear sky
23,Rio Grande,BR,-32.035,-52.0986,46.94,69,0,8.84,clear sky
24,Mount Gambier,AU,-37.8333,140.7667,52.25,91,69,7.85,broken clouds
25,Souillac,MU,-20.5167,57.5167,66.36,64,60,15.84,broken clouds
26,Sovetskaya Gavan,RU,48.9723,140.2878,62.46,86,100,9.44,overcast clouds
27,Vaini,TO,-21.2,-175.2,71.76,94,90,10.36,light rain
28,East London,ZA,-33.0153,27.9116,58.51,65,7,5.57,clear sky
29,Tuktoyaktuk,CA,69.4541,-133.0374,54.55,83,98,9.04,overcast clouds
30,San Carlos Del Zulia,VE,9.0,-71.9135,85.21,65,41,7.34,scattered clouds
31,Yellowknife,CA,62.456,-114.3525,74.28,53,95,1.01,overcast clouds
32,Bluff,NZ,-46.6,168.3333,49.8,90,100,8.99,moderate rain
33,Deputatskiy,RU,69.3,139.9,63.37,35,76,12.86,broken clouds
34,Chingirlau,KZ,51.095,54.0814,75.83,43,57,6.71,broken clouds
35,Hobart,AU,-42.8794,147.3294,55.26,76,75,1.01,light rain
36,Turayf,SA,31.6725,38.6637,79.34,35,0,13.2,clear sky
37,Serenje,ZM,-13.2325,30.2352,51.49,60,2,7.72,clear sky
38,Hilo,US,19.7297,-155.09,83.12,74,90,10.36,overcast clouds
39,Bredasdorp,ZA,-34.5322,20.0403,50.83,91,2,3.29,clear sky
40,Nikolskoye,RU,59.7035,30.7861,61.02,71,35,7.31,scattered clouds
41,Bethel,US,41.3712,-73.414,77.58,53,20,3.0,few clouds
42,Riyadh,SA,24.6877,46.7219,95.05,14,100,7.85,overcast clouds
43,Butaritari,KI,3.0707,172.7902,81.23,76,96,8.32,moderate rain
44,Joao Pinheiro,BR,-17.7425,-46.1725,64.78,26,25,5.19,scattered clouds
45,Portland,US,45.5234,-122.6762,104.52,32,12,7.96,few clouds
