City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Batagay-Alyta,RU,2021-07-30 16:08:24,67.8006,130.4114,54.79,53,22,2.8
1,Dikson,RU,2021-07-30 16:06:53,73.5069,80.5464,41.13,99,98,6.38
2,Castro,BR,2021-07-30 16:06:48,-24.7911,-50.0119,53.89,38,93,5.99
3,Vardo,NO,2021-07-30 16:08:25,70.3705,31.1107,50.2,76,0,11.5
4,Kahului,US,2021-07-30 16:06:32,20.8947,-156.47,73.42,84,1,5.75
5,Bandarbeyla,SO,2021-07-30 16:08:26,9.4942,50.8122,77.0,78,100,29.57
6,Ushuaia,AR,2021-07-30 16:08:26,-54.8,-68.3,37.06,81,75,13.8
7,Finspang,SE,2021-07-30 16:08:27,58.7058,15.7674,69.8,67,54,8.97
8,Bredasdorp,ZA,2021-07-30 16:08:27,-34.5322,20.0403,57.27,87,13,4.29
9,Sinnamary,GF,2021-07-30 16:08:28,5.3833,-52.95,83.73,69,20,3.91
10,Ixtapa,MX,2021-07-30 16:08:28,20.7,-105.2,83.23,78,90,3.44
11,Sulecin,PL,2021-07-30 16:08:29,52.4443,15.1168,78.69,42,87,10.22
12,Antalaha,MG,2021-07-30 16:08:29,-14.9003,50.2788,68.88,87,2,8.08
13,Zhigansk,RU,2021-07-30 16:08:30,66.7697,123.3711,58.03,50,2,3.62
14,Bluff,NZ,2021-07-30 16:06:14,-46.6,168.3333,46.8,90,100,5.26
15,Albany,US,2021-07-30 16:08:31,42.6001,-73.9662,76.46,68,80,1.99
16,Busselton,AU,2021-07-30 16:06:11,-33.65,115.3333,44.1,73,71,8.93
17,Ilulissat,GL,2021-07-30 16:08:33,69.2167,-51.1,55.42,44,1,8.05
18,Langsa,ID,2021-07-30 16:08:33,4.4683,97.9683,75.74,94,100,1.7
19,Catuday,PH,2021-07-30 16:08:34,16.2923,119.8062,80.02,85,100,17.43
20,Roebourne,AU,2021-07-30 16:08:34,-20.7833,117.1333,69.21,72,0,10.49
21,Miandrivazo,MG,2021-07-30 16:08:35,-19.5167,45.4667,81.46,35,11,6.62
22,Jamestown,US,2021-07-30 16:03:57,42.097,-79.2353,72.09,72,75,5.75
23,Vaini,TO,2021-07-30 16:08:36,-21.2,-175.2,73.56,94,75,5.75
24,Hilo,US,2021-07-30 16:08:36,19.7297,-155.09,71.62,88,90,6.91
25,Qaanaaq,GL,2021-07-30 16:08:37,77.484,-69.3632,41.05,91,100,5.68
26,Kalugumalai,IN,2021-07-30 16:08:37,9.15,77.7167,83.39,58,7,16.44
27,Tuktoyaktuk,CA,2021-07-30 16:08:37,69.4541,-133.0374,54.57,78,76,11.56
28,Constitucion,CL,2021-07-30 16:08:38,-35.3333,-72.4167,58.78,58,7,5.86
29,Grindavik,IS,2021-07-30 16:08:38,63.8424,-22.4338,66.67,63,0,5.75
30,Yellowknife,CA,2021-07-30 16:06:16,62.456,-114.3525,64.56,77,98,5.99
31,Lander,US,2021-07-30 16:08:39,42.833,-108.7307,72.41,68,75,8.05
32,Mataura,NZ,2021-07-30 16:08:40,-46.1927,168.8643,46.47,99,100,1.34
33,Leningradskiy,RU,2021-07-30 16:08:40,69.3833,178.4167,32.41,98,100,19.8
34,Marawi,PH,2021-07-30 16:08:41,7.9986,124.2928,72.64,90,100,2.8
35,Vila Velha,BR,2021-07-30 16:04:30,-20.3297,-40.2925,67.95,56,75,13.8
36,Togur,RU,2021-07-30 16:08:42,58.3631,82.8265,52.88,87,37,6.31
37,Irtyshskiy,RU,2021-07-30 16:08:42,58.3333,68.1333,56.01,98,100,8.48
38,Acari,PE,2021-07-30 16:08:43,-15.4311,-74.6158,72.88,54,50,7.67
39,Pangnirtung,CA,2021-07-30 16:08:43,66.1451,-65.7125,44.6,100,90,3.44
40,Atuona,PF,2021-07-30 16:08:44,-9.8,-139.0333,76.59,78,92,19.1
41,Tazovskiy,RU,2021-07-30 16:08:44,67.4667,78.7,52.0,69,39,7.9
42,Radhanpur,IN,2021-07-30 16:08:16,23.8333,71.6,85.03,71,97,20.6
43,Hobart,AU,2021-07-30 16:06:53,-42.8794,147.3294,54.27,62,40,1.01
44,Morant Bay,JM,2021-07-30 16:08:46,17.8815,-76.4093,87.62,74,14,15.43
